venue_uri,venue_name
https://dblp.org/streams/conf/infocom,INFOCOM
https://dblp.org/streams/conf/wowmom,WoWMoM
https://dblp.org/streams/conf/antsw,ANTS Conference
https://dblp.org/streams/conf/icb,ICB
https://dblp.org/streams/conf/acl-pwnlp,PWNLP@ACL
https://dblp.org/streams/conf/dmin,DMIN
https://dblp.org/streams/conf/spaa,SPAA
https://dblp.org/streams/conf/bxml,Berliner XML Tage
https://dblp.org/streams/conf/networking,Networking
https://dblp.org/streams/conf/networks,NetWORKing
https://dblp.org/streams/conf/cocoon,COCOON
https://dblp.org/streams/conf/IEEEcca,CCA
https://dblp.org/streams/conf/acssc,ACSSC
https://dblp.org/streams/conf/icgse,ICGSE
https://dblp.org/streams/conf/algosensors,ALGOSENSORS
https://dblp.org/streams/conf/refmod,Referenzmodellierung
https://dblp.org/streams/conf/icwsm,ICWSM Workshops
https://dblp.org/streams/conf/icdcn,ICDCN
https://dblp.org/streams/conf/monami,MONAMI
https://dblp.org/streams/conf/ipsn,IPSN
https://dblp.org/streams/conf/sicherheit,Sicherheit
https://dblp.org/streams/conf/gd,GD
https://dblp.org/streams/conf/nca,NCA
https://dblp.org/streams/conf/icsm,ICSME
https://dblp.org/streams/conf/iecon,IECON
https://dblp.org/streams/conf/iclp,ICLP
https://dblp.org/streams/conf/denert,Denert Award
https://dblp.org/streams/conf/isss,ISSS
https://dblp.org/streams/conf/apnet,APNet
https://dblp.org/streams/conf/mkwi,MKWI
https://dblp.org/streams/conf/icc,ICC
https://dblp.org/streams/conf/rtas,RTAS
https://dblp.org/streams/conf/icpads,ICPADS
https://dblp.org/streams/conf/sies,SIES
https://dblp.org/streams/conf/petra,PETRA
https://dblp.org/streams/conf/ppsc,PP
https://dblp.org/streams/conf/allerton,Allerton
MANPU@ICDAR,MANPU@ICDAR
https://dblp.org/streams/conf/dsd,DSD
https://dblp.org/streams/conf/birthday,Graph Transformations and Model-Driven Engineering
https://dblp.org/streams/conf/wpnc,WPNC
https://dblp.org/streams/conf/icst,ICST
https://dblp.org/streams/conf/istcs,ISTCS
https://dblp.org/streams/conf/tadds,TADDS
https://dblp.org/streams/conf/data,DATA
https://dblp.org/streams/conf/icfce,ICFCE
https://dblp.org/streams/conf/pakm,PAKM
https://dblp.org/streams/conf/ecis,ECIS
https://dblp.org/streams/conf/edoc,EDOC
https://dblp.org/streams/conf/stringology,PSC
https://dblp.org/streams/conf/ladc,LADC
https://dblp.org/streams/conf/cicling,CICLing (2)
https://dblp.org/streams/conf/rweb,Reasoning Web
https://dblp.org/streams/conf/ifip10-5,EDUTECH
https://dblp.org/streams/conf/acii,ACII
https://dblp.org/streams/conf/onlinegreencomm,OnlineGreenComm
https://dblp.org/streams/conf/globecom,GLOBECOM Workshops
https://dblp.org/streams/conf/kes,KES
https://dblp.org/streams/conf/cikm,CIKM
